timestamp,epoch,replicas,desired_replicas,num_requests_waiting_current,num_requests_waiting_target,kv_cache_usage_current,kv_cache_usage_target,active_jobs,completed_jobs
2025-11-24T19:41:40Z,1764013300,1,1,0,2,0,800,0,0
2025-11-24T19:41:47Z,1764013307,1,1,0,2,0,800,1,0
2025-11-24T19:41:53Z,1764013313,1,1,0,2,0,800,1,0
2025-11-24T19:42:00Z,1764013320,1,1,0,2,0,800,1,0
2025-11-24T19:42:06Z,1764013326,1,1,0,2,0,800,1,0
2025-11-24T19:42:13Z,1764013333,1,1,0,2,0,800,1,0
2025-11-24T19:42:20Z,1764013340,1,1,0,2,0,800,1,0
2025-11-24T19:42:26Z,1764013346,1,1,0,2,0,800,1,0
2025-11-24T19:42:32Z,1764013352,1,1,0,2,0,800,1,0
2025-11-24T19:42:40Z,1764013360,1,1,0,2,0,800,1,0
2025-11-24T19:42:46Z,1764013366,1,1,0,2,0,800,1,0
2025-11-24T19:42:54Z,1764013374,1,1,0,2,0,800,1,0
2025-11-24T19:43:00Z,1764013380,1,1,0,2,0,800,1,0
2025-11-24T19:43:07Z,1764013387,1,1,0,2,41,800,1,0
2025-11-24T19:43:13Z,1764013393,1,1,0,2,41,800,1,0
2025-11-24T19:43:19Z,1764013399,1,1,0,2,41,800,1,0
2025-11-24T19:43:26Z,1764013406,1,1,0,2,41,800,1,0
2025-11-24T19:43:32Z,1764013412,1,1,0,2,41,800,1,0
2025-11-24T19:43:39Z,1764013419,1,1,0,2,58,800,1,0
2025-11-24T19:43:45Z,1764013425,1,1,0,2,58,800,1,0
2025-11-24T19:43:51Z,1764013431,1,1,0,2,58,800,1,0
2025-11-24T19:43:57Z,1764013437,1,1,0,2,58,800,1,0
2025-11-24T19:44:04Z,1764013444,1,1,0,2,58,800,1,0
2025-11-24T19:44:10Z,1764013450,1,1,0,2,33,800,1,0
2025-11-24T19:44:16Z,1764013456,1,1,0,2,33,800,1,0
2025-11-24T19:44:23Z,1764013463,1,1,0,2,33,800,1,0
2025-11-24T19:44:29Z,1764013469,1,1,0,2,33,800,1,0
2025-11-24T19:44:36Z,1764013476,1,1,0,2,39,800,1,0
2025-11-24T19:44:43Z,1764013483,1,1,0,2,39,800,1,0
2025-11-24T19:44:49Z,1764013489,1,1,0,2,39,800,1,0
2025-11-24T19:44:56Z,1764013496,1,1,0,2,39,800,1,0
2025-11-24T19:45:02Z,1764013502,1,1,0,2,39,800,1,0
2025-11-24T19:45:08Z,1764013508,1,1,0,2,45,800,1,0
2025-11-24T19:45:14Z,1764013514,1,1,0,2,45,800,1,0
2025-11-24T19:45:20Z,1764013520,1,1,0,2,45,800,1,0
2025-11-24T19:45:27Z,1764013527,1,1,0,2,45,800,1,0
2025-11-24T19:45:33Z,1764013533,1,1,0,2,45,800,1,0
2025-11-24T19:45:39Z,1764013539,1,1,0,2,40,800,1,0
2025-11-24T19:45:45Z,1764013545,1,1,0,2,40,800,1,0
2025-11-24T19:45:52Z,1764013552,1,1,0,2,40,800,1,0
2025-11-24T19:45:58Z,1764013558,1,1,0,2,40,800,1,0
2025-11-24T19:46:04Z,1764013564,1,1,0,2,40,800,1,0
2025-11-24T19:46:10Z,1764013570,1,1,0,2,58,800,1,0
2025-11-24T19:46:17Z,1764013577,1,1,0,2,58,800,1,0
2025-11-24T19:46:23Z,1764013583,1,1,0,2,58,800,1,0
2025-11-24T19:46:29Z,1764013589,1,1,0,2,58,800,1,0
2025-11-24T19:46:35Z,1764013595,1,1,0,2,58,800,1,0
2025-11-24T19:46:41Z,1764013601,1,1,0,2,41,800,1,0
2025-11-24T19:46:48Z,1764013608,1,1,0,2,41,800,1,0
2025-11-24T19:46:54Z,1764013614,1,1,0,2,41,800,1,0
2025-11-24T19:47:00Z,1764013620,1,1,0,2,41,800,1,0
2025-11-24T19:47:07Z,1764013627,1,1,0,2,41,800,1,0
2025-11-24T19:47:13Z,1764013633,1,1,0,2,36,800,1,0
2025-11-24T19:47:19Z,1764013639,1,1,0,2,36,800,1,0
2025-11-24T19:47:25Z,1764013646,1,1,0,2,36,800,1,0
2025-11-24T19:47:32Z,1764013652,1,1,0,2,36,800,1,0
2025-11-24T19:47:38Z,1764013658,1,1,0,2,44,800,1,0
2025-11-24T19:47:44Z,1764013664,1,1,0,2,44,800,1,0
2025-11-24T19:47:50Z,1764013670,1,1,0,2,44,800,2,0
2025-11-24T19:47:57Z,1764013677,1,1,0,2,44,800,2,0
2025-11-24T19:48:03Z,1764013683,1,1,0,2,44,800,2,0
2025-11-24T19:48:09Z,1764013689,1,1,0,2,31,800,2,0
2025-11-24T19:48:15Z,1764013695,1,1,0,2,31,800,2,0
2025-11-24T19:48:22Z,1764013702,1,1,0,2,31,800,2,0
2025-11-24T19:48:28Z,1764013708,1,1,0,2,31,800,2,0
2025-11-24T19:48:34Z,1764013714,1,1,0,2,31,800,2,0
